"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 18 00:55:58 IST 2020","Tue Feb 18 00:55:58 IST 2020","0","",": Checkout a product","",": Checkout a product","Hook","Hook",""
"passed","Tue Feb 18 00:55:54 IST 2020","Tue Feb 18 00:55:58 IST 2020","4057","",": Checkout a product","",": Checkout a product","When I click on the link ""Faded Short Sleeve T-shirts""","When I click on the link ""Faded Short Sleeve T-shirts""",""
"passed","Tue Feb 18 00:55:37 IST 2020","Tue Feb 18 00:55:37 IST 2020","86","",": Register on the website","",": Register on the website","When I set ""93829"" to the inputfield ""#postcode""","When I set ""93829"" to the inputfield ""#postcode""",""
"passed","Tue Feb 18 00:55:40 IST 2020","Tue Feb 18 00:55:40 IST 2020","21","",": Register on the website","",": Register on the website","Then I expect that element "".account"" with text ""A B""","Then I expect that element "".account"" with text ""A B""",""
"passed","Tue Feb 18 00:55:43 IST 2020","Tue Feb 18 00:55:43 IST 2020","0","",": Register on the website","",": Register on the website","Hook","Hook",""
"passed","Tue Feb 18 00:55:51 IST 2020","Tue Feb 18 00:55:51 IST 2020","15","",": Checkout a product","",": Checkout a product","Then I expect that element "".myaccount-link-list"" becomes displayed","Then I expect that element "".myaccount-link-list"" becomes displayed",""
"passed","Tue Feb 18 00:55:34 IST 2020","Tue Feb 18 00:55:34 IST 2020","158","",": Register on the website","",": Register on the website","When I set ""testp@gmail.com"" to the inputfield ""#email_create""","When I set ""testp@gmail.com"" to the inputfield ""#email_create""",""
"passed","Tue Feb 18 00:55:40 IST 2020","Tue Feb 18 00:55:40 IST 2020","14","",": Register on the website","",": Register on the website","Then I expect that element "".logout"" becomes displayed","Then I expect that element "".logout"" becomes displayed",""
"passed","Tue Feb 18 00:55:43 IST 2020","Tue Feb 18 00:55:46 IST 2020","2419","",": Checkout a product","",": Checkout a product","Given I open the url ""http://automationpractice.com/index.php""","Given I open the url ""http://automationpractice.com/index.php""",""
"passed","Tue Feb 18 00:55:51 IST 2020","Tue Feb 18 00:55:54 IST 2020","2884","",": Checkout a product","",": Checkout a product","When I click on the button "".button-search""","When I click on the button "".button-search""",""
